63 1 0 4 4
27 1 0 4 4
20 1 0 2 2
16 1 0 3 3
2 1 0 3 3
71 1 0 13 13
63 1 0 11 11
3 1 0 7 7
51 1 0 10 10
49 0 1 9 9
31 0 1 4 4
22 1 0 5 5
73 1 0 5 5
77 0 0 6 6
10 0 1 1 1
89 1 0 0 0
34 1 0 1 1
35 1 0 0 0
77 0 0 5 5
4 1 0 24 24
21 1 0 2 2
61 1 0 0 0
41 1 0 1 1
63 1 0 0 0
19 1 0 8 8
55 0 0 6 6
6 1 0 7 7
21 1 0 0 0
70 1 0 2 2
79 0 0 3 3
1 1 0 0 0
29 1 0 1 1
40 1 0 3 3
39 1 0 0 0
68 1 0 0 0
20 1 0 28 28
10 1 0 8 8
84 1 0 5 5
1 0 0 5 5
35 1 0 27 27
32 1 0 5 5
34 1 0 18 18
40 1 0 19 19
29 1 0 9 9
20 1 0 9 9
27 1 0 4 4
74 1 0 2 2
38 1 0 3 3
21 1 0 9 9
81 1 0 20 20
16 1 0 6 6
59 1 0 0 0
48 1 0 27 27
55 1 0 12 12
4 1 0 34 34
57 1 0 1 1
5 0 0 28 28
3 0 0 8 8
23 1 0 3 3
35 1 0 2 2
33 1 0 1 1
27 1 0 7 7
13 1 0 4 4
46 1 0 8 8
30 1 0 6 6
32 1 0 16 16
26 0 0 6 6
14 1 0 4 4
31 0 1 3 3
48 1 0 5 5
72 1 0 0 0
79 1 0 9 9
15 0 1 0 0
24 1 0 8 8
55 0 1 0 0
13 0 0 14 14
34 1 0 4 4
67 1 0 2 2
1 1 0 35 35
21 1 0 23 23
33 1 0 13 13
78 1 0 6 6
84 0 0 3 3
59 1 0 6 6
75 1 0 0 0
22 0 0 11 11
49 1 0 11 11
13 1 0 11 11
84 0 1 4 4
27 1 0 6 6
27 1 0 23 23
70 1 0 5 5
96 1 0 5 5
70 0 0 29 29
10 1 0 7 7
14 1 0 1 1
20 1 0 9 9
11 1 0 11 11
42 1 0 18 18
2 1 0 12 12
24 0 0 6 6
37 1 0 0 0
13 1 0 4 4
3 1 0 10 10
70 0 0 19 19
27 1 0 1 1
1 0 0 12 12
61 1 0 3 3
44 1 0 0 0
35 1 0 9 9
78 1 0 14 14
3 1 0 7 7
21 1 0 3 3
26 1 0 10 10
44 1 0 12 12
47 1 0 6 6
35 1 0 35 35
8 0 0 16 16
87 1 0 3 3
3 1 0 10 10
6 1 0 6 6
89 0 0 3 3
13 1 0 2 2
84 1 0 6 6
90 1 0 5 5
71 1 0 13 13
15 0 0 7 7
41 1 0 5 5
63 1 0 3 3
34 1 0 30 30
45 1 0 16 16
29 1 0 15 15
3 1 0 12 12
35 1 0 1 1
32 0 0 4 4
22 1 0 7 7
81 1 0 1 1
73 1 0 10 10
69 1 0 3 3
27 0 0 30 30
13 1 0 2 2
76 1 0 13 13
7 0 0 5 5
59 1 0 5 5
29 1 0 5 5
57 1 0 4 4
44 1 0 3 3
53 1 0 20 20
